"target_id"	"test_stat"	"pval"	"qval"	"rss"	"sigma_sq"	"tech_var"	"mean_obs"	"var_obs"	"sigma_sq_pmax"	"smooth_sigma_sq"	"final_sigma_sq"	"degrees_free"	"ens_gene"	"ext_gene"
"1"	"ENST00000303562.8"	26.921488604234	2.11889889835775e-07	0.00585887800843826	3.26763998320001	0.250345884326241	0.00101103745837503	8.32463920714548	0.251356921784616	0.250345884326241	0.0338879040241479	0.250345884326241	1	"ENSG00000170345"	"FOS"
"2"	"ENST00000367688.3"	26.1974993268234	3.08221408222824e-07	0.00585887800843826	4.54066937031527	0.342081663753966	0.00720059550105525	5.65891512254871	0.34928225925502	0.342081663753966	0.0546830460292997	0.342081663753966	1	"ENSG00000152061"	"RABGAP1L"
"3"	"ENST00000391770.8"	26.3278012507476	2.88111385647485e-07	0.00585887800843826	3.25555001908832	0.250209725120368	0.000217199424887396	9.43979635529733	0.250426924545255	0.250209725120368	0.050547322076213	0.250209725120368	1	"ENSG00000179820"	"MYADM"
"4"	"ENST00000312316.9"	25.328072310658	4.83618876345091e-07	0.0068947125106138	6.09208959907949	0.459236674971528	0.00938560188074104	5.15492056701347	0.468622276852268	0.459236674971528	0.075522362919709	0.459236674971528	1	"ENSG00000137094"	"DNAJB5"
"5"	"ENST00000264716.8"	24.8942088587759	6.05640858895121e-07	0.00690745512387063	2.21712507245869	0.168222165509857	0.00232591698696508	8.3135521495852	0.170548082496823	0.168222165509857	0.0338100993838886	0.168222165509857	1	"ENSG00000075426"	"FOSL2"
"6"	"ENST00000273153.9"	24.2531460720597	8.4468998292202e-07	0.00706806982796899	1.51135041230661	0.115497429466268	0.000760294557317344	7.25262140370522	0.116257724023585	0.115497429466268	0.0321539446178252	0.115497429466268	1	"ENSG00000144655"	"CSRNP1"
"7"	"ENST00000376250.6"	24.2015753932436	8.67612822147493e-07	0.00706806982796899	73.4020042375064	4.468996958734	1.17731105953572	1.56171374781178	5.64630801826973	4.468996958734	1.22047824197235	4.468996958734	1	"ENSG00000134864"	"GGACT"
"8"	"ENST00000266458.9"	22.8741622244007	1.72961294247856e-06	0.00790055270524569	1.16034263024772	0.088390125244694	0.000867000158977045	7.61690035705772	0.0892571254036709	0.088390125244694	0.0314848845295647	0.088390125244694	1	"ENSG00000139112"	"GABARAPL1"
"9"	"ENST00000371625.7"	23.4566586713078	1.27759758097978e-06	0.00790055270524569	2.79452644681589	0.209113607620557	0.00584996521143511	5.73158602421126	0.214963572831992	0.209113607620557	0.0525583975009322	0.209113607620557	1	"ENSG00000107317"	"PTGDS"
"10"	"ENST00000380244.7"	22.653958684742	1.93960189866797e-06	0.00790055270524569	1.64848620408265	0.124143541805521	0.00266308927776024	7.43876207365535	0.126806631083282	0.124143541805521	0.0316518818998083	0.124143541805521	1	"ENSG00000089280"	"FUS"
"11"	"ENST00000423241.6"	23.5372514601537	1.22518524242394e-06	0.00790055270524569	1.2746011683226	0.096134757832022	0.00191148588510076	7.69019270199715	0.0980462437171226	0.096134757832022	0.0315042469822878	0.096134757832022	1	"ENSG00000003402"	"CFLAR"
"12"	"ENST00000448420.5"	22.7350352491582	1.85946542044569e-06	0.00790055270524569	3.70417651461963	0.275281220066836	0.00965543490390497	6.37134644208076	0.284936654970741	0.275281220066836	0.0396526060467253	0.275281220066836	1	"ENSG00000179820"	"MYADM"
"13"	"ENST00000489615.5"	23.1148609525683	1.52606657281696e-06	0.00790055270524569	1.38088809117145	0.104489658051105	0.00173250280823759	7.16828567764848	0.106222160859342	0.104489658051105	0.0324942808606938	0.104489658051105	1	"ENSG00000152061"	"RABGAP1L"
"14"	"ENST00000504788.5"	22.9582662466783	1.65556761198446e-06	0.00790055270524569	3.10368292052048	0.235099248889819	0.00364559115021792	6.87098378910243	0.238744840040037	0.235099248889819	0.0342857680394744	0.235099248889819	1	"ENSG00000113368"	"LMNB1"
"15"	"ENST00000075120.11"	22.350367001355	2.27169635234447e-06	0.00807466984547981	2.70985788258543	0.208309470334048	0.000141136018676882	9.10834835889161	0.208450606352725	0.208309470334048	0.0434418436108406	0.208309470334048	1	"ENSG00000059804"	"SLC2A3"
"16"	"ENST00000200453.5"	22.1565069735593	2.51302765390825e-06	0.00807466984547981	1.28453675858743	0.0985499723797831	0.000260547511557446	8.40356348361305	0.0988105198913405	0.0985499723797831	0.0344822637603595	0.0985499723797831	1	"ENSG00000087074"	"PPP1R15A"
"17"	"ENST00000243189.11"	21.7443135654375	3.11511830744846e-06	0.00807466984547981	2.91529599658663	0.222333586215856	0.0019199519831155	7.1582434927633	0.224253538198972	0.222333586215856	0.0325395986192359	0.222333586215856	1	"ENSG00000117616"	"RSRP1"
"18"	"ENST00000330843.8"	21.9204859977615	2.84183944254351e-06	0.00807466984547981	2.26757540810061	0.173656601238248	0.000772276307952735	8.65738231202995	0.1744288775462	0.173656601238248	0.0369034983250757	0.173656601238248	1	"ENSG00000156675"	"RAB11FIP1"
"19"	"ENST00000330871.3"	21.7994437681392	3.02687873009747e-06	0.00807466984547981	2.67693141476524	0.205015861713075	0.000901939422712332	7.15908885682913	0.205917801135788	0.205015861713075	0.032535744057454	0.205015861713075	1	"ENSG00000184557"	"SOCS3"
"20"	"ENST00000358600.7"	22.3949405913738	2.21957943381485e-06	0.00807466984547981	2.25409102758045	0.172005320956622	0.00138629654956612	8.81196129552294	0.173391617506187	0.172005320956622	0.0387947126086154	0.172005320956622	1	"ENSG00000123146"	"ADGRE5"
