Transcript_ID	X1after	X1before	X2after	X2before	X3after	X3before	X4after	X4before	X5after	X5before	X6after	X6before	X7after	X7before
ENST00000390437.2	6.1037074405	5.5190291711	4.9899791235	4.9734459668	4.0517723114	4.3576786747	4.6590739851	5.1490845468	5.0520854416	4.6215771899	4.6047830042	4.3386882548	4.1154994126	4.5930848094
ENST00000390452.2	3.713706811	3.5125555964	3.4131066031	4.099126852	2.5305652101	3.5676427922	3.3476514844	3.6526471041	3.8289463246	3.2712628109	3.2774804596	2.8656516241	1.7474604457	3.6357892105
ENST00000390449.3	5.4869267077	4.9662412581	4.3277161028	4.9883120371	4.3286713374	4.913454331	4.8475059059	4.8668783131	5.301613252	5.1691874355	4.4823384752	4.4859741746	4.862927417	5.1081480525
ENST00000390425.2	3.7489441974	3.5953246254	4.0791391356	4.5196677009	2.4359645615	3.3402916493	3.7895101704	4.1012550624	3.919978808	3.8302451815	3.4029949754	3.5095058345	3.2651443066	3.249609171
ENST00000632432.1	2.8113867681	2.3730969172	2.4327456588	2.4786560596	1.6905109626	1.691967355	2.0288767529	2.7348439946	2.7655665702	2.3847930731	1.8874277881	2.3011252078	2.0916050616	2.7751158775
ENST00000631835.1	2.2326883826	2.2902120537	1.6297482805	2.9942810174	1.1307002837	1.6083834666	2.3512721339	2.9698669847	2.4813170268	2.4211397989	2.3687320369	2.0315434108	1.1643164571	1.7758175268
ENST00000390457.2	3.8054162868	3.8447170612	3.4346015417	3.7681843248	3.0119481991	3.8713606984	3.3761097573	3.5213020556	4.0436594694	2.8141422686	2.5975001866	2.3322897421	1.8217714313	3.0447088549
ENST00000390450.3	2.7861676714	2.8475279545	2.9436963273	3.4136346983	1.7117107441	2.4270402465	2.1995467169	2.4764205737	3.1906101197	2.6842330146	2.3348714271	2.4030713497	2.3355632891	3.0383659416
ENST00000390341.2	4.8147811132	4.3881619782	3.4078421782	4.0932390157	2.3488895854	3.1785393722	4.2239862339	4.6986407771	3.7041194426	3.3702758967	3.6852001151	3.8656120361	3.3884788739	3.9447647613
ENST00000390455.3	3.4163668711	2.7935525905	2.994422232	2.8787920315	2.7527100619	3.3330086129	3.8623026011	4.1299588643	3.4177445196	3.1036671611	3.3734672542	3.4289463448	3.0401086398	3.2631230687
ENST00000390438.2	4.1352393398	4.0933911533	3.5211889676	4.0232642249	3.3570170527	3.8913997434	3.7774197155	4.029249675	3.945279951	3.9782139379	3.8529376821	3.9734551511	3.6938660507	3.6580629204
ENST00000390434.3	4.2356657976	4.1536432264	3.7918244877	3.914641057	3.3027796454	3.6954148378	3.9748137854	4.1597502664	3.9220741291	3.6436022531	4.0069263168	3.5664985786	3.288129662	3.6316747269
ENST00000632216.1	2.69491807	2.9680760024	2.9309303147	2.9166390579	3.0710692953	3.9625952921	3.9047249284	4.6501671413	2.8435859429	2.7451146817	2.5457435481	2.6729864695	1.9526131313	2.4593266915
ENST00000390442.3	4.8738476416	4.5012735283	4.3260626993	4.5567298179	3.6857495701	4.0761058303	4.4173597208	4.4135466958	4.5559633613	4.6005314324	4.1796782403	4.2222945209	3.5451158402	3.4275927648
ENST00000390439.2	4.2949074216	4.1393548869	3.1291065852	3.9232252599	3.1273344756	3.2664252596	4.6524807585	5.2570143909	4.4680879979	4.0277556389	3.595802003	3.2961798546	3.6549395711	3.3092373173
ENST00000390423.2	5.1612709798	4.7328444259	4.5389912626	4.6291642479	3.4418419841	3.4295757958	3.9045129997	4.6888125883	4.2322232776	3.7592517261	5.061309622	4.7010721458	4.8503843936	4.1365441405
ENST00000390346.2	2.9421447527	2.8480469993	3.3839530711	3.1393237774	2.5328530385	3.3945415798	3.9549593408	5.1574560808	2.6814312737	2.8080348895	3.1814603965	3.5433226506	1.7797009726	2.4005679854
ENST00000390345.2	3.7980920007	3.5784677985	3.3442888054	3.254453455	3.0749061293	3.680223072	1.4513931272	2.6942896253	2.2022233639	2.3497276045	3.5594673398	3.5055352921	2.1373297341	2.7918911517
ENST00000390443.3	4.0727489516	3.6119513667	3.3490821464	3.6390237332	3.2766574524	3.4858003338	3.4383993196	3.8716761127	4.113542154	3.6949024736	3.186825381	3.2865721769	2.8981793241	3.4323715229
ENST00000633283.1	4.4974143726	4.5416573178	4.0171914701	4.3179986179	4.1172295821	4.4851240871	3.9682566755	4.7095498122	3.7155419865	3.5221185392	3.8884997355	3.7826392099	3.8096922546	4.0829069226
ENST00000390427.3	3.9559729885	4.3197335301	3.9699608946	4.4929170922	2.7366611534	3.2413063181	3.8516591044	4.549798527	3.811018833	3.5111390815	3.5152582903	3.0371748526	2.7062078302	3.4818543136
ENST00000542354.1	5.213821621	4.6152102842	2.167598785	3.6576743002	1.0954451294	2.1893122124	1.9111201423	2.3449534494	2.5192474983	3.0684627312	2.5359558882	2.3104855463	3.4592611082	3.6257614366
ENST00000390458.3	4.202707642	3.71283786	3.7856447057	3.4493896936	3.2490508595	3.2908799664	3.7302486635	3.7158494522	3.8987984692	4.2672361418	3.3620630433	2.9999404876	2.8607443416	3.0720852149
ENST00000390436.2	5.3241085226	5.2309907152	5.0878955849	5.133263481	3.9108861319	4.9424441283	4.9670901981	5.342771617	5.1504784415	4.9725226449	5.0134801259	4.7106797189	4.6207975211	5.0767685751
ENST00000633292.1	3.9771241956	3.7055577454	3.2946766178	3.3528291329	2.5300307778	2.9972309766	3.0216716002	3.608821068	3.9819439602	3.6973957519	3.553999375	3.5079341468	2.9458155531	2.9893715641
ENST00000632512.1	1.5036692984	2.0008437298	2.0575750404	2.389687949	2.0067899107	2.1840263323	2.0529896583	2.4731192997	2.2413276765	2.463274557	2.1857745904	2.1899953006	1.483519148	1.8289158686
ENST00000631557.1	3.6683347411	3.560213592	3.1377625298	3.2276070875	3.1988037184	3.6930854561	3.1562315613	4.1418741645	3.5872209543	2.9982948092	3.4146767804	3.0902758982	3.5036540351	3.3595914481
ENST00000634198.1	4.8246762182	4.9714561849	4.7613810243	5.0955911274	3.656439165	4.3779358176	3.8603967294	4.4053593404	5.0779522066	5.0496438356	4.4318034524	4.2927964705	4.8383114352	4.5304578401
ENST00000619125.2	5.8546913852	5.5779061225	4.879210735	4.8836696872	2.0818713358	2.2523096815	4.8515741587	5.5055797516	4.8200206403	4.6439716008	5.0840217319	4.7850535262	4.3387738142	4.5416882894
ENST00000633072.1	4.1606620801	4.0789428047	3.5385878253	3.959677434	2.5937433775	3.6572741407	3.5970901344	4.3347398787	3.6466811045	3.5771266613	3.3755121407	3.3397217576	3.4546496933	3.4982764017
ENST00000633384.1	3.7706070759	3.7389515391	3.2759397285	3.644998352	2.9441462907	3.1221260144	3.4550049413	4.1516396689	4.1974880024	3.8637997231	3.3084540771	3.1695979535	3.5699649453	4.0567222424
ENST00000632560.1	5.7416072042	5.5704022103	4.1645610406	4.4580013302	3.4514880827	3.7667329585	4.0176814388	4.9552709505	3.5436319803	3.9562146709	4.1666592141	3.5919785513	3.989629513	3.5213271851
ENST00000632422.1	3.6009357518	2.8473014401	3.0415811838	3.23392793	2.7098243783	3.1669114325	2.2394102626	3.0511545499	3.7176490082	3.7237878892	2.5412224051	2.7176928718	2.4649139224	3.8180120166
ENST00000467903.5	2.9103239683	2.6376937036	2.3014998532	1.4420729731	4.1579168263	3.9736755571	3.4631908392	3.2085874888	3.6336753202	3.9755109655	1.9310854344	2.3104012012	4.1025237647	2.7003353964
ENST00000443402.6	3.3734533334	3.0853872626	2.0383764779	2.7469812824	2.1807143865	2.5227186739	3.0484663846	3.8276462973	2.2872801988	2.3466789577	2.2729846653	1.9900617463	3.9505523978	4.9694912838
